i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
15,1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=3}}"
16,1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=1}}"
17,1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=3}}"
18,1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=3}}"
19,1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=1}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=3}}"
20,1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{17}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{3}, a=2, b=3}}"
21,1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=8}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=3}}"
22,1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=1}}"
23,1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{16}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=1}}"
24,1,"Question{QuestionVoter{voter=Voter{8}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=3}}"
25,1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{15}, a=4, b=1}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=4}}"
26,1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{20}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=4}}"
27,1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=6}}",1,"Question{QuestionVoter{voter=Voter{5}, a=7, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{2}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=4}}"
28,1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=7, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=10, b=5}}"
29,1,"Question{QuestionVoter{voter=Voter{17}, a=3, b=2}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{16}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{2}, a=7, b=10}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{17}, a=10, b=5}}"
30,1,"Question{QuestionVoter{voter=Voter{7}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{17}, a=9, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=6}}"
31,1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{11}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=7}}"
32,1,"Question{QuestionVoter{voter=Voter{4}, a=10, b=2}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{16}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=10, b=8}}"
33,1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{12}, a=9, b=1}}",1,"Question{QuestionVoter{voter=Voter{15}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=10, b=8}}"
34,1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=1}}",1,"Question{QuestionVoter{voter=Voter{19}, a=9, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=8}}"
35,1,"Question{QuestionVoter{voter=Voter{3}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{16}, a=4, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=10, b=8}}"
36,1,"Question{QuestionVoter{voter=Voter{1}, a=10, b=1}}",1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{17}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=9}}"
37,1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{5}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{1}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{19}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{12}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{19}, a=10, b=9}}"
38,1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{7}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=9, b=4}}",1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{13}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{17}, a=10, b=9}}"
39,1,"Question{QuestionVoter{voter=Voter{13}, a=10, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=4, b=3}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=1}}"
